timestamp,open,high,low,close,volume
2022-06-20,65.0,66.0,63.0,64.0,350620300
2022-06-21,64.0,66.0,61.0,63.0,193963200
2022-06-22,63.0,65.0,61.0,61.0,122360400
2022-06-23,61.0,63.0,57.0,59.0,285760900
2022-06-24,58.0,61.0,58.0,61.0,73161800
2022-06-27,60.0,61.0,57.0,58.0,77203300
2022-06-28,58.0,59.0,56.0,58.0,69606900
2022-06-29,63.0,63.0,54.0,54.0,368633100
2022-06-30,54.0,55.0,53.0,54.0,80259200
2022-07-01,54.0,55.0,52.0,53.0,162359800
2022-07-04,53.0,55.0,53.0,53.0,123351200
2022-07-05,53.0,56.0,53.0,54.0,135537600
2022-07-06,54.0,55.0,53.0,55.0,42089200
2022-07-07,55.0,55.0,54.0,55.0,25458900
2022-07-08,55.0,55.0,53.0,55.0,98294300
2022-07-11,54.0,55.0,54.0,55.0,26053300
2022-07-12,55.0,58.0,54.0,57.0,231045800
2022-07-13,57.0,59.0,56.0,57.0,174010400
2022-07-14,57.0,57.0,55.0,56.0,27266500
2022-07-15,56.0,56.0,55.0,55.0,44003700
2022-07-18,55.0,56.0,54.0,54.0,33364200
2022-07-19,55.0,57.0,54.0,56.0,154969900
2022-07-20,56.0,58.0,56.0,56.0,122064800
2022-07-21,56.0,58.0,55.0,57.0,131284900
2022-07-22,57.0,62.0,57.0,60.0,444988600
2022-07-25,61.0,62.0,59.0,61.0,369929700
2022-07-26,62.0,65.0,60.0,61.0,695193600
2022-07-27,60.0,61.0,57.0,57.0,419782100
2022-07-28,57.0,58.0,54.0,56.0,269039700
2022-07-29,56.0,59.0,55.0,57.0,126857500
2022-08-01,57.0,60.0,57.0,58.0,122657600
2022-08-02,59.0,59.0,57.0,57.0,119844500
2022-08-03,61.0,61.0,57.0,57.0,183961300
2022-08-04,58.0,65.0,57.0,60.0,1153936000
2022-08-05,60.0,62.0,59.0,60.0,189833600
2022-08-08,60.0,63.0,60.0,61.0,201166400
2022-08-09,61.0,70.0,59.0,70.0,2029705900
